,ME,2W-FRI,W-FRI
2015-10-09,,998000.0,998000.0
2015-10-16,,,1007122.0291982502
2015-10-23,,1317171.2095698507,1012717.3841006996
2015-10-30,,,1304057.5873338007
2015-10-31,998000.0,,
2015-11-06,,1298074.9195460724,1293642.508648524
2015-11-13,,,1274133.1592998067
2015-11-20,,1599286.9576650292,1295138.2784390075
2015-11-27,,,1589687.1188191208
2015-11-30,1284650.371098166,,
2015-12-04,,1597222.7153748174,1593144.884864746
2015-12-11,,,1573756.5113208299
2015-12-18,,1872518.1910454042,1572755.3962749722
2015-12-25,,,1890961.1140194905
2015-12-31,1567341.8006536127,,
2016-01-01,,1873882.3968411922,1874201.0400190775
2016-01-08,,,1844672.536831764
2016-01-15,,1831682.7556882028,1830729.0092471563
2016-01-22,,,1847142.4076347006
2016-01-29,,2183297.0863050506,2179465.679036144
2016-01-31,1867764.1404022472,,
2016-02-05,,,2169124.047014124
2016-02-12,,2188429.7401375556,2183613.4512045053
2016-02-19,,,2208017.663123578
2016-02-26,,2524214.1216915883,2515691.439943088
2016-02-29,2204021.9108129,,
2016-03-04,,,2554550.132521893
2016-03-11,,2563702.5136229177,2554603.2044585873
2016-03-18,,,2582564.4314909293
2016-03-25,,2877752.3526049126,2865372.8978706533
2016-03-31,2584449.7371991808,,
2016-04-01,,,2904653.853349397
2016-04-08,,2913086.6565416534,2900767.882487442
2016-04-15,,,2921009.72574296
2016-04-22,,3212871.324046611,2900419.1247140234
2016-04-29,,,3205205.1064407257
2016-04-30,2889260.12658663,,
2016-05-06,,3208797.660788235,3196245.9547839034
2016-05-13,,,3193813.8920638426
2016-05-20,,3486975.68117749,3176468.8594949874
2016-05-27,,,3500640.512522974
2016-05-31,3185755.9522279957,,
2016-06-03,,3555536.8930055085,3545281.041765616
2016-06-10,,,3556416.7287609633
2016-06-17,,3861137.0927613354,3550098.539431521
2016-06-24,,,3837022.3341940474
2016-06-30,3590481.811073086,,
2016-07-01,,3948814.3150875187,3937947.167689796
2016-07-08,,,3979419.073314801
2016-07-15,,3971709.943065049,3961147.063463453
2016-07-22,,,3978070.9511333
2016-07-29,,4329096.2431712765,4317127.454830536
2016-07-31,3990186.014410121,,
2016-08-05,,,4302160.931618924
2016-08-12,,4340912.572133725,4328943.39179672
2016-08-19,,,4321445.5063195955
2016-08-26,,4602295.336986899,4591025.047489271
2016-08-31,4268170.194549889,,
2016-09-02,,,4611846.932778525
2016-09-09,,4561593.270373089,4550501.449128599
2016-09-16,,,4557037.954456637
2016-09-23,,4926941.439768227,4611825.583177066
2016-09-30,4585464.022006747,,4911236.462726832
2016-10-07,,4869797.380892311,4854644.440205929
2016-10-14,,,4811059.216995414
2016-10-21,,5164298.655930333,4849624.457351346
2016-10-28,,,5106726.773294293
2016-10-31,4792722.69132896,,
2016-11-04,,5102385.333045301,5087711.829919838
2016-11-11,,,4990724.260564243
2016-11-18,,5284723.892795169,4975157.622174439
2016-11-25,,,5291133.1798430495
2016-11-30,4950630.029938514,,
2016-12-02,,5266680.801812821,5257325.174285959
2016-12-09,,,5293739.430504583
2016-12-16,,5263818.554351752,5254312.220241029
2016-12-23,,,5266698.196475672
2016-12-30,,5597752.9476127,5587637.234298464
2016-12-31,5261396.97635615,,
2017-01-06,,,5664073.112662342
2017-01-13,,5710908.388752833,5700324.872663818
2017-01-20,,,5681973.169913864
2017-01-27,,6020944.609466497,6011374.539245678
2017-01-31,5687125.501196812,,
2017-02-03,,,6032020.145770359
2017-02-10,,6096017.12535038,6086297.173984129
2017-02-17,,,6116080.608792094
2017-02-24,,6477995.642862658,6466777.597730477
2017-02-28,6115220.145786452,,
2017-03-03,,,6423050.773659061
2017-03-10,,6388131.65780887,6376641.308163785
2017-03-17,,,6441842.498326191
2017-03-24,,6780952.385969392,6464720.338870283
2017-03-31,6445599.605855067,,6776913.906761278
2017-04-07,,6796887.033633123,6780677.973437641
2017-04-14,,,6815714.483067557
2017-04-21,,7158976.0320975995,6840450.171068205
2017-04-28,,,7169837.970292971
2017-04-30,6835627.122680031,,
2017-05-05,,7172298.3632357465,7152898.2592862025
2017-05-12,,,7175760.747265014
2017-05-19,,7539748.027096776,7217627.453684949
2017-05-26,,,7572823.366926547
2017-05-31,7238063.088906287,,
2017-06-02,,7664766.425664282,7642252.488420913
2017-06-09,,,7593181.366821759
2017-06-16,,7621688.751341362,7599183.0074541485
2017-06-23,,,7643018.32448466
2017-06-30,7521064.402109413,7879851.185988903,7856050.023211799
2017-07-07,,,7802879.999782493
2017-07-14,,7945118.620529985,7920951.208343684
2017-07-21,,,7997615.34534654
2017-07-28,,8311860.0826596925,8284653.722524814
2017-07-31,7948471.758849831,,
2017-08-04,,,8302457.429248386
2017-08-11,,8328061.568914705,8300918.787655608
2017-08-18,,,8299516.593394505
2017-08-25,,8684761.401355226,8657151.982771628
2017-08-31,8397590.562909123,,
2017-09-01,,,8732321.06672441
2017-09-08,,8789194.047122123,8761633.734406523
2017-09-15,,,8756401.880802497
2017-09-22,,9034907.192871025,8708933.97887261
2017-09-29,,,8980351.421442468
2017-09-30,8639351.939756077,,
2017-10-06,,9040425.6316912,9014082.51008901
2017-10-13,,,9103847.908805909
2017-10-20,,9387370.382652888,9059933.933315342
2017-10-27,,,9359966.43491111
2017-10-31,9041180.172055367,,
2017-11-03,,9452845.183320893,9425197.590370312
