,ME,2W-FRI,W-FRI
2015-10-09,,0.998,0.998
2015-10-16,,,1.0071220291982501
2015-10-23,,1.0127402674504706,1.0127173841006996
2015-10-30,,,1.0060366416691324
2015-10-31,0.998,,
2015-11-06,,0.9980576037804161,0.9980017581754685
2015-11-13,,,0.982950950227591
2015-11-20,,0.9988145669527311,0.9991556943446562
2015-11-27,,,0.9957412209735318
2015-11-30,0.9877358015069104,,
2015-12-04,,0.9975253703771562,0.9979070812509109
2015-12-11,,,0.985762677162356
2015-12-18,,0.9845361785537698,0.9851356031260275
2015-12-25,,,0.9947124548420938
2015-12-31,0.9769471158682342,,
2016-01-01,,0.9852534532736466,0.985896062887397
2016-01-08,,,0.9703630253883707
2016-01-15,,0.9630656456273511,0.963028236507725
2016-01-22,,,0.971662264823448
2016-01-29,,0.9863843071432342,0.9862897543577952
2016-01-31,0.9771680735949883,,
2016-02-05,,,0.9816097789836625
2016-02-12,,0.9887031712255152,0.9881667764336255
2016-02-19,,,0.99921059529734
2016-02-26,,1.0029210255422942,1.0022678780337193
2016-02-29,0.9935120729280764,,
2016-03-04,,,1.0177494346092761
2016-03-11,,1.0186105576594209,1.017770578815012
2016-03-18,,,1.028910514039166
2016-03-25,,1.0236080440437063,1.0227741205205618
2016-03-31,1.0254231421439974,,
2016-04-01,,,1.0367951733206475
2016-04-08,,1.0361763519829192,1.035408104142441
2016-04-15,,,1.042633283611669
2016-04-22,,1.0361069102083806,1.0352836175790174
2016-04-29,,,1.036831804951548
2016-04-30,1.0271332376734845,,
2016-05-06,,1.0347932097124177,1.0339336648716786
2016-05-13,,,1.033146932074227
2016-05-20,,1.0283576045545504,1.0275360956915032
2016-05-27,,,1.0346804847203166
2016-05-31,1.02600468314626,,
2016-06-03,,1.0485772590653069,1.0478748370880377
2016-06-10,,,1.0511661999048771
2016-06-17,,1.0501003263509128,1.0492987396002398
2016-06-24,,,1.0457349747942457
2016-06-30,1.0568299110434964,,
2016-07-01,,1.0739456023839433,1.073240842370583
2016-07-08,,,1.084543518874952
2016-07-15,,1.0801724484745128,1.0795636990831672
2016-07-22,,,1.0841761041474096
2016-07-29,,1.0946835227564335,1.0940740531304367
2016-07-31,1.0839140588329645,,
2016-08-05,,,1.0902811410881765
2016-08-12,,1.0976714767976645,1.09706852345437
2016-08-19,,,1.095168361358232
2016-08-26,,1.0885377047486107,1.0879594644874553
2016-08-31,1.078351769323119,,
2016-09-02,,,1.0928937366673261
2016-09-09,,1.0789108270873156,1.0783563732571664
2016-09-16,,,1.0799053634636564
2016-09-23,,1.0934132429764463,1.092888677339457
2016-09-30,1.082434110532455,,1.092757597141525
2016-10-07,,1.0807315272515499,1.080165785890599
2016-10-14,,,1.070468007307168
2016-10-21,,1.0795820343433638,1.079048832055552
2016-10-28,,,1.0700600803003497
2016-10-31,1.0618861381536568,,
2016-11-04,,1.0666392292256883,1.0660757019034905
2016-11-11,,,1.045752992101291
2016-11-18,,1.0434083228387794,1.0424911692028132
2016-11-25,,,1.0456483028821195
2016-11-30,1.0322583267433125,,
2016-12-02,,1.0398459207752797,1.0389670717671526
2016-12-09,,,1.046163357311575
2016-12-16,,1.0392808027325044,1.038371643495616
2016-12-23,,,1.0408193942115935
2016-12-30,,1.0456195003596753,1.0447344181437137
2016-12-31,1.0343750765485418,,
2017-01-06,,,1.05902582425319
2017-01-13,,1.0667561130210796,1.0658039059008941
2017-01-20,,,1.062372642436485
2017-01-27,,1.068537241447186,1.0675941988596043
2017-01-31,1.0577595702394784,,
2017-02-03,,,1.0712607695604963
2017-02-10,,1.0818603633548254,1.080900135744396
2017-02-17,,,1.0861895453487234
2017-02-24,,1.0957266972005566,1.0947721275703484
2017-02-28,1.0803903529387942,,
2017-03-03,,,1.0873695367904583
2017-03-10,,1.0805265684927277,1.0795127969363623
2017-03-17,,,1.0905508208355088
2017-03-24,,1.0955225745547768,1.0944238506077808
2017-03-31,1.085506572622569,,1.0963965753998508
2017-04-07,,1.098096957213666,1.0970055413495914
2017-04-14,,,1.1026738897601973
2017-04-21,,1.1077039496833463,1.1066757295337573
2017-04-28,,,1.1112304513464288
2017-04-30,1.0999938631438686,,
